"","X12S","X16S","BDNF","CXCR4","cytb","H3A","NCX1","ND1","ND2","POMC","RAG1","RHOD","SIA","SLC8A3","TYR"
"4229","EU341098","EU341098","","","EU341032","","","","","","","","","",""
"4230","","","","","","","","","","","","","","",""
"4231","","HM631951","","","","","","","","","","","","",""
"4232","","JX519457","","","","","","","","","","","","",""
"4233","EU341093","EU341093","","","EU341027","","","","","","","","","",""
"4234","","","","","","","","","","","","","","",""
"4235","EU341068","EU341068","","","EU341002","","","","","","","","","",""
"4236","EU341063","EU341063","EF396029","","EU340997","","","","","","EF396103","","","","EF395987"
"4237","EU341058","EU341058","","","EU340993","","","","","","","","","",""
"4238","EU341059","EU341059","","","EU340994","","","","","","","","","",""
"4239","EU341057","EU341057","AB611988","AB611990","","","AB611991","","","","","DQ019568","","","AB611987"
"4240","EU341056","EU341056","","","EU340992","","","","","","","","","",""
"4241","EU341061","EU341061","","","EU340996","","","","","","EU341128","","","",""
"4242","EU341062","EU341062","","","","","","","","","","","","",""
"4243","EU341064","EU341064","","","EU340998","","","","","","","","","",""
"4244","EU341105","EU341105","KC180098","","EU341039","","","","","","EF396102","","","","EF395988"
"4245","EU341103","EU341103","","","EU341037","","","","","","","","","",""
"4246","AY594034","AY594072","","","","","","","","","","","","",""
"4247","","","","","","","","","","","","","","",""
"4248","EU341104","EU341104","","","EU341038","","","","","","","","","",""
"4249","","","","","","","","","","","","","","",""
"4250","","","","","","","","","","","","","","",""
"4251","EU341108","EU341108","","","EU341042","","","","","","EU341127","","","",""
"4252","EU341111","EU341111","","","","","","","","","","","","",""
"4253","EU341110","EU341110","KC180083","","EU341045","","","","","","EF396105","","","","EF395990"
"4254","","","","","","","","","","","","","","",""
"4255","GU989244","FJ559318","","","","","","","","","","","","",""
"4256","EU341084","EU341084","","","EU341018","","","","","","KC351264","","","",""
"4257","EU341078","AF215386","","","EU341012","","","","","","KC351227","","","",""
"4258","GU989243","FJ559317","","","","","","","","","KC351307","","","",""
"4259","EU341070","EU341070","","","EU341004","","","","","","EU341125","","","",""
"4260","GU989247","GU989238","","","","","","","","","KC351284","","","",""
"4261","GU989246","FJ559316","","","","","","","","","","","","",""
"4262","","","","","","","","","","","","","","",""
"4263","EU341066","EU341066","EF396033","","EU341000","","","","","","EF396107","","","","EF395992"
"4264","EU341065","EU341065","EF396034","","EU340999","","","","","","EF396108","","","","EF395993"
"4265","EU341072","EU341072","","","EU341006","","","","","","KC351294","","","",""
"4266","GU989245","FJ559319","","","","","","","","","KC351309","","","",""
"4267","EU341077","EU341077","","","EU341011","","","","","","KC351338","","","",""
"4268","EU341080","EU341080","","","EU341014","","","","","","KC351222","","","",""
"4269","EU341120","EU341120","KC180090","","EU341054","","AY948832","JX564863","JX564863","KF700921","EF396084","DQ019558","","AY948890","EF395970"
"4270","DQ283434","DQ283434","KC180161","AB611894","DQ119680","DQ284411","AB611895","","","KF700912","","","DQ282888","","DQ283025"
"4271","EU341119","EU341119","EF396006","","EU341053","","","","","","EF396083","","","","EF395971"
"4272","","","","","","","","","","","","","","",""
"4273","","KC180021","KC180214","","","","","","","","","","","",""
"4274","","KC180030","KC180160","","","","","","","","","","","","KC180237"
"4275","","JF790162","KC180191","","","","","","","","","","","","KC180267"
"4276","","KF621147","","","","","","","","","","","","","KF621265"
"4277","","","","","","","","","","","","","","",""
"4278","","KF621153","","","","","","","","","","","","","KF621271"
"4279","","KC180044","KC180193","","","","","","","","","","","","KC180235"
"4280","JN604510","KC180040","KC180202","","","","","","JQ410715","","","","","","KC180242"
"4281","","","","","","","","","","","","","","",""
"4282","CFBH15784","CFBH15784","CFBH15784","","","","","","","","","","","",""
"4283","CTMZ6898","CTMZ6898","CTMZ6898","","","","","","","","","","","",""
"4284","GQ891750","GQ891750","","","","","","","","","","","","",""
"4285","","","","","","","","","","","","","","",""
"4286","","KC180039","KC180167","","","","","","JQ410663","","","","","","KC180243"
"4287","CTMZ6891","CTMZ6891","CTMZ6891","","","","","","JQ410662","","","","","",""
"4288","","","","","","","","","","","","","","",""
"4289","","","","","","","","","","","","","","",""
"4290","","KC180071","KC180192","","","","","","JQ410661","","","","","","KC180247"
"4291","","KC180008","KC180121","","","","","","","","EF396080","","","","EF395966"
"4292","JF836938","GQ891751","KC180172","","","","","","","","","JF837040","","","KC180304"
"4293","AY326067","AY326067","","","","","","","","","","","","",""
"4294","","","","","","","","","","","","","","",""
"4295","","","","","","","","","","","","","","",""
"4296","","","","","","","","","","","","","","",""
"4297","DQ283383","DQ283383","KC180190","AB611886","","DQ284368","AB611887","","","","","","DQ282846","","DQ282993"
"4298","","","","","","","","","","","","","","",""
"4299","DQ283095","DQ283095","KC180156","","","DQ284145","","","JQ410660","","","DQ283811","","","DQ282922"
"4300","DQ283329","DQ283330","KC180189","","","","AY948825","AY948747","JQ410659","","EF396082","","","AY948881","EF395969"
"4301","JF836935","JQ268479","KC180164","","","","","","","","","JF837037","","","KC180318"
"4302","","","","","","","","","","","","","","",""
"4303","","","","","","","","","","","","","","",""
"4304","JN604511","JN604511","","","","","","","","","","","","",""
"4305","","","","","","","","","","","","","","",""
"4306","","","","","","","","","","","","","","",""
"4307","","","","","","","","","","","","","","",""
"4308","","","","","","","","","","","","","","",""
"4309","","","","","","","","","","","","","","",""
"4310","","","","","","","","","","","","","","",""
"4311","DQ347057","DQ283405","KC180207","EF017969","","DQ284386","EF018006","","","","EF396085","DQ347401","","EF107396","EF395972"
"4312","","","","","","","","","","","","","","",""
"4313","","","","","","","","","","","","","","",""
"4314","","","","","","","","","","","","","","",""
"4315","","","","","","","","","","","","","","",""
"4316","","KC180031","KC180120","","","","","","","","","","","","KC180253"
"4317","","","","","","","","","","","","","","",""
"4318","AY819349","X86278","KC180166","","","","","AY819479","","AY819098","EF396086","JF837007","","","EF395973"
"4319","DQ283426","JQ268517","KC180151","","","DQ284404","","","","","","","DQ282883","","DQ283019"
"4320","","","","","","","","","","","","","","",""
"4321","DQ347055","AY326066","KC180180","EF017968","","DQ284288","EF018005","JX564865","JX564865","","DQ347280","DQ283932","DQ282784","EF107394","DQ347188"
"4322","","","","","","","","","","","","","","",""
"4323","DQ283438","DQ283438","KC180181","","","DQ284414","","","","","EF396088","","DQ282892","","KC180317"
"4324","JF836892","JQ268453","KC180212","","","","","","","","","JF837025","","","KC180276"
"4325","","JQ268462","","","","","","","","","","","","",""
"4326","JF836898","JQ268495","","","","","","","","","","JF837005","","",""
"4327","JF836906","JQ268475","KC180198","","","","","","","","EF396090","JF837035","","","EF395977"
"4328","","KC180038","KC180210","","","","","","","","","","","","KC180279"
"4329","","","","","","","","","","","","","","",""
"4330","","KC180014","KC180195","","","","","","JQ410658","","","","","","KC180231"
"4331","","","","","","","","","","","","","","",""
"4332","","","","","","","","","","","","","","",""
"4333","","","","","","","","","","","","","","","KC180286"
"4334","JF836936","JF836990","","","","","","","","","","JF837038","","",""
"4335","","KC179972","KC180119","","","","","","","","","","","","KC180275"
"4336","JF836937","EU201100","","","","","","","","","EF396079","JF837039","","","EF395967"
"4337","","","","","","","","","","","","","","",""
"4338","","","","","","","","","","","","","","",""
"4339","","","","","","","","","","","","","","",""
"4340","","","","","","","","","","","","","","",""
"4341","AY531857","DQ283419","KC180215","EF017980","FJ998373","DQ284398","EF018036","","","","EF396089","","DQ282876","EF107432","EF395976"
"4342","AY531858","AY531835","","","","","","","","","","","","",""
"4343","","","","","","","","","","","","","","",""
"4344","","EF017953","","EF017972","","","EF018028","","","","EF018042","","","",""
"4345","","","","","","","","","","","","","","",""
"4346","","","","","","","","","","","","","","",""
"4347","","","","","","","","","","","","","","",""
"4348","AB634639","AB634697","","","","","","","","","","","","",""
"4349","AB634640","AB634698","KC180203","AB611914","","","AB611915","","","","","","","","AB611911"
"4350","","EF017952","","EF017971","","","EF018027","","","","EF018041","","","",""
"4351","","","","","","","","","","","","","","",""
"4352","","","","","","","","","","","","","","",""
"4353","","","","","","","","","","","","","","",""
"4354","","","","","","","","","","","","","","",""
"4355","","","","","","","","","","","","","","",""
"4356","AB634641","AB634699","","","","","","","","","","","","",""
"4357","DQ283146","DQ283146","KC180147","","","DQ284186","AY948811","AY948733","","","AY948919","DQ283846","DQ282702","AY948863","AB611919"
"4358","","","","","","","","","","","","","","",""
"4359","","","","","","","","","","","","","","",""
"4360","AB634645","AB634703","","","","","","","","","","","","",""
"4361","","","","","","","","","","","","","","",""
"4362","AB634646","AB634704","","","","","","","","","","","","",""
"4363","","EF017964","","EF017983","","","EF018039","","","","EF018053","","","EF107439",""
"4364","","","","","","","","","","","","","","",""
"4365","","","","","","","","","","","","","","",""
"4366","DQ283144","DQ283144","AB611864","EF017975","","DQ284184","EF018031","","","","EF396078","DQ283845","DQ282700","EF107363","EF395964"
"4367","AB598316","AB598340","","","","","","","","","","","","",""
"4368","","","","","","","","","","","","","","",""
"4369","","","","","","","","","","","","","","",""
"4370","AB634626","AB634684","","","","","","","","","","","","",""
"4371","AB598318","DQ283145","KC180106","AB611870","","DQ284185","AB611871","","","","","","DQ282701","","DQ282938"
"4372","AB201182","AB201193","KC180216","","","","AY948812","AY948734","","","EF396087","","","AY948865","EF395974"
"4373","","","","","","","","","","","","","","",""
"4374","","","","","","","","","","","","","","",""
"4375","AB634629","AB634687","KC180145","","","","","","","","","","","",""
"4376","AB634630","AB634688","","","JQ798754","","","NC_020044","NC_020044","","","","","",""
"4377","AY326064","AY326064","","","","","","","","","","","","",""
"4378","","","","","","","","","","","","","","",""
"4379","KC822610","KC822604","","","","","","","","","","","","",""
"4380","KC822595","KC822589","","","","","","","","","","","","",""
"4381","","","","","","","","","","","","","","",""
"4382","AB634631","AB634689","","","","","","","","","","","","",""
"4383","","","","","","","","","","","","","","",""
"4384","AB634628","AB634686","KC180137","","","","","","","","","","","","KC180315"
"4385","AF315130","AF315162","KC180204","EF017974","AY458595","DQ284379","EF018030","NC_006405","NC_006405","HM998968","EF396091","DQ284011","DQ282857","","EF395978"
"4386","KC822636","KC822625","","","","","","","","","","","","",""
"4387","JX678896","KC567237","","","","","","","","","","","","",""
"4388","DQ346970","AF249057","AB611925","","AF249085","","AY948807","AY948729","","","AY948915","AF249100","","AY948853","AF249163"
"4389","KC822507","KC822507","","","","","","","","","","","","",""
"4390","KC822642","KC822639","","","","","","","","","","","","",""
"4391","AB634634","AB634692","AB611930","AB611932","","","AB611933","","","","","","","","AB611929"
"4392","AB634635","EF017954","KC180091","EF017973","","","EF018029","","","","EF018043","","","EF107354","AB611937"
"4393","AB598311","AB598335","KC180095","","","","","","","","","","","",""
"4394","","","","","","","","","","","","","","",""
"4395","AB634600","AB634658","AB611943","AB611945","","","AB611946","","","","","","","","AB611942"
"4396","AB598314","AB598338","KC180094","","","","","","","","","","","",""
"4397","AB598308","EF017951","","EF017970","","","EF018026","","","","EF018040","","","",""
"4398","AB201178","AB201189","EF396019","","","","","","","","EF396094","","","",""
"4399","","","","","","","","","","","","","","",""
"4400","","","","","","","","","","","","","","",""
"4401","AB201175","AB201185","","","AB201221","","","","","","","","","",""
"4402","AB634609","AB634667","","","","","","","","","","","","",""
"4403","","","","","","","","","","","","","","",""
"4404","DQ283382","DQ283382","EF396020","","HQ141546","","","NC_006406","NC_006406","","EF396095","","DQ282845","","EF395979"
"4405","","","","","","","","","","","","","","",""
"4406","","","","","","","","","","","","","","",""
"4407","AB634619","AB634677","","","","","","","","","","","","",""
"4408","AB598310","AB598334","","","","","","","","","","","","",""
"4409","AB634610","HQ588955","AB611951","AB611953","","","AB611954","","","","","","","","AB611950"
"4410","AB634611","AB634669","","","JX878883","","","","","","","","","",""
"4411","","","","","","","","","","","","","","",""
"4412","","","","","","","","","","","","","","",""
"4413","","","","","","","","","","","","","","",""
"4414","AB201173","AB201184","AB611959","AB611960","AB201195","","AB611961","NC_010233","NC_010233","","","","","","AB611958"
"4415","","","","","","","","","","","","","","",""
"4416","DQ346965","DQ512876","KC180087","AY364168","AB201223","","AY948806","NC_009422","NC_009422","","AY364198","AY364383","","AY948852","KC180221"
"4417","AB634612","AB634670","","","","","","","","","","","","",""
"4418","AB634614","AB634672","","","","","","","","","","","","",""
"4419","AB634616","AB634674","","","","","","","","","","","","",""
"4420","","","","","","","","","","","","","","",""
"4421","AB201180","AB201191","EF396021","","","","","","","","EF396093","","","","EF395980"
"4422","","","","","","","","","","","","","","",""
"4423","AB201181","AB201192","","","AB201224","","","","","","","","","",""
"4424","","","","","","","","","","","","","","",""
"4425","AB634624","AB634682","","","","","","","","","","","","",""
"4426","","","","","","","","","","","","","","",""
"4427","AB598317","AF285207","KC180209","AB611966","","","AB611967","","","","EF396096","","","","EF395981"
"4428","AB634638","AB634696","","","","","","","","","","","","",""
"4429","AB634636","AB634694","AB611972","AB611974","","","AB611975","","","","","","","","AB611971"
"4430","","","","","","","","","","","","","","",""
"4431","","","","","","","","","","","","","","",""
"4432","","AB612000","AB611996","AB611998","","","AB611999","","","","","","","","AB611995"
"4433","","","","","","","","","","","","","","",""
"4434","","","","","","","","","","","","","","",""
"4435","KC822504","AF215382","KC180142","","","","","","","","","","","",""
"4436","","","","","","","","","","","","","","",""
"4437","","","","","","","","","","","","","","",""
"4438","GU136098","EF017963","KC180128","EF017982","","","EF018038","","","","EF018052","","","","KC180217"
"4439","","","","","","","","","","","","","","",""
"4440","GU191107","EF017960","","EF017979","","","EF018035","","","","EF018049","","","",""
"4441","","","EF396023","","","","","","","","EF396097","","","","EF395982"
"4442","","KC180034","KC180127","","","","","","","","","","","","KC180302"
"4443","","KC180078","KC180155","","","","","","","","","","","","KC180301"
"4444","DQ283064","KC180018","KC180086","","","DQ284094","","","","","","","","","DQ282908"
"4445","","","","","","","","","","","","","","",""
"4446","","","KC180113","","","","","","","","","","","","KC180229"
"4447","","","","","","","","","","","","","","",""
"4448","","AF215377","EF396025","","","","","","","","EF396099","","","","EF395985"
"4449","DQ283154","DQ283154","EF396026","","FJ998374","DQ284193","AY948810","AY948732","","","EF396100","","DQ282709","AY948862","EF395984"
"4450","AY531855","AY531832","KC180208","AB611982","JX564886","","AB611983","JX564886","JX564886","","","JF837041","","","AB611979"
"4451","","","","","","","","","","","","","","",""
"4452","EU341121","EU341121","EF396024","","EU341055","","","","","","EF396098","","","","EF395983"
"4453","","AY834186","","","","","","","","","","","","",""
"4454","EU341114","EU341114","","","EU341048","","","","","","","","","",""
"4455","EU341117","EU341117","","","EU341051","","","","","","","","","",""
"4456","EU341118","EU341118","KC180097","","EU341052","","","","","","EF396106","DQ019573","","","EF395991"
"4457","AF026356","EF674851","","","EF674831","","","","","","","","","",""
"4458","EU341115","EU341115","KC180158","AB612006","EU341049","","AB612007","JX564893","JX564893","","","","","","AB612003"
"4459","EU341116","EU341116","","AY364175","EU341050","DQ284391","AY523712","AY523765","","","AY364205","AY364390","DQ282867","AY948861","AY844175"
"4460","","AY834189","","","","","","","","","","","","",""
"4461","","","","","","","","","","","","","","",""
"4462","","DQ787111","","","","","","","","","","","","",""
"4463","","","","","","","","","","","","","","",""
"4464","DQ283298","DQ283297","","","","DQ284307","","","","","","DQ283948","DQ282800","",""
"4465","","","","","","","","","","","","","","",""
"4466","DQ283307","DQ283306","","","","DQ284311","","","","","","DQ283953","DQ282804","",""
"4467","","","","","","","","","","","","","","",""
"4468","","","","","","","","","","","","","","",""
"4469","","","","","","","","","","","","","","",""
"4470","","","","","","","","","","","","","","",""
"4471","","","","","","","","","","","","","","",""
"4472","DQ283282","DQ283283","","","","DQ284299","","","","","","DQ283942","DQ282793","",""
"4473","JF703230","JF703230","JF703238","","JF703230","","","JF703230","JF703230","JF703244","JQ073271","","","",""
"4474","","","","","","","","","","","","","","",""
"4475","","AJ269706","","","","","","","","","","","","",""
"4476","DQ283308","DQ283308","","","","DQ284312","","","","","","DQ283954","DQ282805","",""
"4477","AF261250","AF261268","","","","","","","","","","","","",""
"4478","DQ283285","AJ269732","","","","DQ284301","","","","","","DQ283944","DQ282794","",""
"4479","","AJ269742","","","","","","","","","","","","",""
"4480","","AJ269746","","","","","","","","","","","","",""
"4481","DQ283289","DQ283289","","","","DQ284303","","","","","","","DQ282796","",""
"4482","DQ283246","DQ283245","","","","DQ284272","","","","","","DQ283917","DQ282772","",""
"4483","AY326071","AY326071","","AY364189","JX564877","","AY523719","JX564877","JX564877","","AY364219","AY364400","","AY948889",""
"4484","","AJ269774","","","GQ345209","","","","","","","","","",""
"4485","","AJ269780","","","","","","","","","","","","",""
"4486","","","","","","","","","","","","","","",""
"4487","","","","","","","","","","","","","","",""
"4488","","","","","","","","","","","","","","",""
"4489","","","","","","","","","","","","","","",""
"4490","","","","","","","","","","","","","","",""
"4491","X86245","X86279","","","","","","","","","","","","",""
"4492","DQ283290","DQ283291","","","","DQ284304","","","","","","","DQ282797","",""
"4493","AY843700","AY843700","","","","DQ284123","","","","","","AY844691","AY844900","",""
"4494","","","","","","","","","","","","","","",""
"4495","","","","","","","","","","","","","","",""
"4496","AY819350","","","","","","","AY819480","","AY819099","","","","",""
"4497","DQ283287","DQ283288","","","","DQ284302","","","","","","DQ283945","DQ282795","",""
"4498","","","","","","","","","","","","","","",""
"4499","","","","","","","","","","","","","","",""
"4500","","","","","","","","","","","","","","",""
"4501","","","","","","","","","","","","","","",""
"4502","","","","","","","","","","","","","","",""
"4503","","","","","","","","","","","","","","",""
"4504","","","","","","","","","","","","","","",""
"4505","DQ283313","DQ283313","","","","","","","","","","DQ283957","","",""
"4506","DQ283281","DQ283280","","","","DQ284298","","","","","","DQ283941","DQ282792","",""
"4507","","AJ269764","","","","","","","","","","","","",""
"4508","","","","","","","","","","","","","","",""
"4509","","","","","","","","","EF606760","","","","","",""
"4510","","","","","","","","","","","","","","",""
"4511","","DQ283284","","","","DQ284300","","","","","","DQ283943","","",""
"4512","","","","","","","","","JX473813","","","","","",""
"4513","","AJ269696","","","","","","","JX473815","","","","","",""
"4514","","","","","","","","","JX473817","","","","","",""
"4515","","","","","","","","","JX473779","","JX431043","","","",""
"4516","","","","","","","","","EF512628","","","","","",""
"4517","","","","","","","","","JX473805","","","","","",""
"4518","","","","","","","","","JX473801","","","","","",""
"4519","DQ283300","DQ283299","","","","","","","JX473818","","","DQ283949","DQ282801","",""
"4520","EU443855","EU443855","","","","","","","JX473808","","","","","",""
"4521","","","","","","","","","JX473802","","","","","",""
"4522","","","","","","","","","JX473810","","","","","",""
"4523","EU443859","EU443859","","","","","","","JX473792","","JX431022","","","",""
"4524","EU443926","EU443926","","","","DQ284226","AY948841","JX564860","JX564860","","AY948939","","DQ282737","AY948905",""
"4525","","","","","","","","","JX473803","","","","","",""
"4526","","","","","","","","","JX473800","","","","","",""
"4527","","","","","","","","","JX473819","","","","","",""
"4528","DQ058049","","","","","","","","JX473806","","","","","",""
"4529","","","","","","","","","","","","","","",""
"4530","","","","","","","","","","","","","","",""
"4531","","","","","","","","","","","","","","",""
"4532","","","","","","","","","","","","","","",""
"4533","","","","","","","","","","","","","","",""
"4534","DQ283295","DQ283296","","","","DQ284306","","","","","","DQ283947","DQ282799","","DQ282965"
"4535","","","","","","","","","","","","","","",""
"4536","DQ283292","DQ283293","","","","DQ284305","","","EU432155","","","DQ283946","DQ282798","",""
"4537","","AY948764","","","","","AY948842","AY948764","","","AY948940","","","AY948906",""
"4538","DQ283315","DQ283314","","","","DQ284315","","","JN677514","","","DQ283958","","",""
"4539","JN628046","DQ010023","","","","","","","JN677522","","","","","",""
"4540","JN793945","DQ010018","","","","","","","JN797606","","","","","",""
"4541","","","","","","","","","","","","","","",""
"4542","","","","","","","","","","","","","","",""
"4543","","","","","","","","","","","","","","",""
"4544","JN628047","DQ010027","","","","","","","JN677523","","","","","",""
"4545","DQ283309","DQ283310","","AY364196","","DQ284313","AY948846","AY948768","JX473822","","AY364226","AY364407","","AY948910",""
"4546","DQ283304","DQ283305","","","","DQ284310","","","","","","DQ283952","","",""
"4547","","","","","","","","","","","","","","",""
"4548","AY843742","AY843742","","","AY843988","","","","","","","","AY844931","",""
"4549","DQ283312","DQ283311","","","","DQ284314","","","","","","DQ283956","DQ282806","",""
"4550","","","","","","","","","","","","","","",""
"4551","","","","","","","","","","","","","","",""
"4552","","","","","","","","","","","","","","",""
"4553","","","","","","","","","","","","","","",""
"4554","","","","","","","","","","","","","","",""
"4555","","","","","","","","","","","","","","",""
"4556","","","","","","","","","","","","","","",""
"4557","","","","","","","","","","","","","","",""
"4558","","","","","","","","","","","","","","",""
"4559","","","","","","","","","","","","","","",""
"4560","","","","","","","","","","","","","","",""
"4561","DQ283276","DQ283275","","AY948795","","DQ284295","AY948840","AY948762","","","AY948938","DQ283938","DQ282789","AY948904",""
"4562","DQ283301","DQ283302","","","","DQ284308","","","JF263218","","","DQ283950","DQ282802","","DQ282966"
"4563","DQ283278","DQ283277","","","","DQ284296","","","","","","DQ283939","DQ282790","",""
"4564","","","","","","","","","","","","","","",""
"4565","","","","","","","","","","","","","","",""
"4566","","","","","","","","","","","","","","",""
"4567","","","","","","","","","","","","","","",""
"4568","","","","","","","","","","","","","","",""
"4569","","JF263420","","","","","","","JF263308","","","","","",""
"4570","","","","","","","","","","","","","","",""
"4571","","JF263414","","","","","","","JF263302","","","","","",""
"4572","","JF263404","","","","","","","JF263292","","","","","",""
"4573","","","","","","","","","","","","","","",""
"4574","","JF263405","","","","","","","JF263293","","","","","",""
"4575","","","","","","","","","","","","","","",""
"4576","","JF263332","","","","","","","JF263220","","","","","",""
"4577","","JF263401","","","","","","","JF263289","","","","","",""
"4578","","JF263418","","","","","","","JF263306","","","","","",""
"4579","DQ283221","DQ283221","","EF107474","","DQ284251","EF107251","","JF263219","","EF107310","DQ283898","DQ282758","EF107410",""
"4580","","JF263403","","","","","","","JF263291","","","","","",""
"4581","AY819351","JF263419","","","","","","AY819481","JF263307","AY819100","","","","",""
"4582","","","","","","","","","","","","","","",""
"4583","","","","","","","","","","","","","","",""
"4584","","JF263407","","","","","","","JF263295","","","","","",""
"4585","","JF263435","","","","","","","JF263324","","","","","",""
"4586","","","","","","","","","","","","","","",""
"4587","","JF263406","","","","","","","JF263294","","","","","",""
"4588","","JF263408","","","","","","","JF263296","","","","","",""
"4589","","","","","","","","","","","","","","",""
"4590","","JF263421","","","","","","","JF263309","","","","","",""
"4591","","JF263429","","","","","","","JF263318","","","","","",""
"4592","","","","","","","","","","","","","","",""
"4593","","JF263439","","","","","","","JF263327","","","","","",""
"4594","","JF263437","","","","","","","JF263325","","","","","",""
"4595","","JF263330","","","","","","","JF263217","","","","","",""
"4596","AY364360","AY364381","","AY364195","GU136138","","EF107250","","","","AY364225","AY364406","","EF107409",""
"4597","DQ346971","AF215393","GQ204478","","GQ204544","","AY948808","AY948730","","","AY948916","AF249115","","AY948854","AF249178"
"4598","","JN644915","","","","","","JF274066","","","","","","","JN644795"
"4599","","JN644893","","","","","","JF274075","","","","","","","AF249177"
"4600","","JN644899","","","","","","JF274079","","","","","","","JN644776"
"4601","","JN644913","","","","","","JN644842","","","","","","","JN644793"
"4602","","JN644902","","","","","","JN644846","","","","","","","JN644779"
"4603","","JN644891","","","","","","JN644881","","","","","","","JN644775"
"4604","JX573187","JN644911","","","","","","JN644886","","","","","","","JN644791"
"4605","","JN644895","","","","","","JF274072","","","","","","","JN644796"
"4606","","JN644918","","","","","","JN644889","","","","","","","JN644800"
"4607","","JN644904","","","","","","JN644825","","","","","","","JN644782"
"4608","","JN644901","","","","","","JN644887","","","","","","","JN644778"
"4609","","JN644909","","","","","","JF274063","","","","","","","JN644789"
"4610","","JN644900","","","","","","JF274054","","","","","","","JN644777"
"4611","","JN644910","","","","","","JF274060","","","","","","","JN644790"
"4612","","JN644903","","","","","","JN644890","","","","","","","JN644780"
"4613","AF249017","AB530573","","","AF249084","","","JN644885","","","AY571655","AF249113","","","AF249176"
"4614","","JN644896","","","","","","JF274070","","","","","","","JN644797"
"4615","","JN644908","","","","","","EF136396","","","","","","","JN644787"
"4616","","JN644897","","","","","","JF274073","","","","","","",""
"4617","","JN644912","","","","","","JN644878","","","","","","","JN644792"
"4618","","JN644892","","","","","","JN644823","","","","","","","JN644781"
"4619","","JN644907","","","","","","JN644805","","","","","","","JN644786"
"4620","","JN644917","","","","","","JF274061","","","","","","","JN644799"
"4621","","JN644898","","","","","","JN644819","","","","","","","JN644774"
"4622","","JN644916","","","","","","JN644864","","","","","","","JN644798"
"4623","","JN644894","","","","","","JF274076","","","","","","","JN644788"
"4624","","JN644905","","","","","","JN644809","","","","","","","JN644783"
"4625","KF693286","KF693390","KF693488","","KF693670","","","","","","KF693610","","KF693550","",""
"4626","KF214098","FJ685685","","","FJ685665","","","KC593353","","","FJ685705","KF214200","KC593363","","KC593367"
"4627","DQ283248","DQ283248","","","","DQ284273","","","","","","DQ283918","DQ282773","",""
"4628","AY843704","AY843704","","","AY843949","","","JX204059","","JX298141","FJ685706","AY844695","AY844901","","JX298239"
"4629","","","","","","","","","","","","","","",""
"4630","KF214100","FJ685687","","","FJ685667","","","","","","FJ685707","KF214202","","",""
"4631","","","","","","","","","","","","","","",""
"4632","KF214101","FJ685688","","","FJ685668","","","","","","FJ685708","KF214203","","",""
"4633","","","","","","","","","","","","","","",""
"4634","","","","","","","","","","","","","","",""
"4635","","","","","","","","","","","","","","",""
"4636","FJ882743","FJ882744","","","JX564880","","AY948835","JX564880","JX564880","","AY948934","","","AY948897",""
"4637","","","","","","","","","","","","","","",""
"4638","KF214131","FJ685690","","","FJ685670","","","","","","FJ685710","KF214232","","",""
"4639","","","","","","","","","","","","","","",""
"4640","DQ283038","DQ283039","","","FJ685671","DQ284065","","","","","FJ685711","DQ283769","","","DQ282903"
"4641","","","","","","","","","","","","","","",""
"4642","","","","","","","","","","","","","","",""
"4643","KF214103","FJ685692","","","FJ685672","","","","","","FJ685712","KF214205","","",""
"4644","AY143350","FJ685693","","","EU017616","","","","EU017784","KC604071","FJ685713","KF214206","","",""
"4645","","","","","","","","","","","","","","",""
"4646","","","","","","","","","","","","","","",""
"4647","","","","","","","","","","","","","","",""
"4648","","","","","","","","","","","","","","",""
"4649","KF214105","FJ685694","","","FJ685674","","","","","","FJ685714","KF214207","","",""
"4650","KF214106","FJ685695","","","FJ685675","","","","","","FJ685715","KF214208","","",""
"4651","KF214107","FJ685696","","","FJ685676","","","","","","FJ685716","KF214209","","",""
"4652","","","","","","","","","","","","","","",""
"4653","KF214108","FJ685697","","","FJ685677","","","","","","FJ685717","KF214210","","",""
"4654","","","","","","","","","","","","","","",""
"4655","","","","","","","","","","","","","","",""
"4656","KF214109","FJ685698","","","FJ685678","","","","","","FJ685718","KF214211","","",""
"4657","KF214128","FJ685699","","","FJ685679","","","","","GQ345270","FJ685719","KF214229","","",""
"4658","KF214113","JX982965","","","JX982962","","","","","","JX982970","KF214215","","",""
"4659","","","","","","","","","","","","","","",""
"4660","KF214110","FJ685689","","","FJ685669","","","","","","FJ685709","KF214212","","",""
"4661","","","","","","","","","","","","","","",""
"4662","","","","","","","","","","","","","","",""
"4663","","","","","","","","","","","","","","",""
"4664","KF214114","JX982968","","","JX982964","","","","","","JX982972","KF214216","","",""
"4665","KF214111","FJ685700","","","FJ685680","","","","","","FJ685720","KF214213","","",""
"4666","","","","","","","","","","","","","","",""
"4667","","","","","","","","","","","","","","",""
"4668","","","","","","","","","","","","","","",""
"4669","KF214112","FJ685701","","","FJ685681","","","","","","FJ685721","KF214214","","",""
"4670","","","","","","","","","","","","","","",""
"4671","","","","","","","","","","","","","","",""
"4672","","","","","","","","","","","","","","",""
"4673","","","","","","","","","","","","","","",""
"4674","AY364341","AY333689","","AY364171","DQ333373","","AY523707","NC_008144","NC_008144","","AY323758","AY364386","","AY948857","DQ347131"
"4675","DQ283113","DQ283113","","","EF133852","DQ284159","","","","","","DQ283826","","",""
